Customer Number,Customer Name,Customer Group,M code,Division,ASM
50264926,Customer_0,Group_0,50265854,Cosmetics,ASM_0
71367643,Customer_1,Group_1,71368573,Cosmetics,ASM_1
52436584,Customer_2,Group_2,52437451,Fragrances,ASM_2
19736572,Customer_3,Group_3,19736625,Fragrances,ASM_0
11250299,Customer_4,Group_4,11250394,Fragrances,ASM_1
71510041,Customer_5,Group_0,71510691,Cosmetics,ASM_2
93370583,Customer_6,Group_1,93371017,Cosmetics,ASM_0
85563727,Customer_7,Group_2,85564577,Fragrances,ASM_1
23419256,Customer_8,Group_3,23419540,Fragrances,ASM_2
19832887,Customer_9,Group_4,19832933,Fragrances,ASM_0
82160068,Customer_10,Group_0,82160072,Fragrances,ASM_1
38609087,Customer_11,Group_1,38609429,Cosmetics,ASM_2
77898694,Customer_12,Group_2,77899484,Fragrances,ASM_0
45594597,Customer_13,Group_3,45594731,Cosmetics,ASM_1
27778019,Customer_14,Group_4,27778672,Fragrances,ASM_2
56843172,Customer_15,Group_0,56843441,Cosmetics,ASM_0
19233013,Customer_16,Group_1,19233179,Fragrances,ASM_1
42787299,Customer_17,Group_2,42788059,Fragrances,ASM_2
59597086,Customer_18,Group_3,59597539,Fragrances,ASM_0
48250360,Customer_19,Group_4,48250925,Fragrances,ASM_1
31172421,Customer_20,Group_0,31173144,Cosmetics,ASM_2
68812137,Customer_21,Group_1,68812575,Fragrances,ASM_0
82909480,Customer_22,Group_2,82910055,Cosmetics,ASM_1
50603163,Customer_23,Group_3,50603173,Cosmetics,ASM_2
92097999,Customer_24,Group_4,92098114,Cosmetics,ASM_0
97775215,Customer_25,Group_0,97775293,Cosmetics,ASM_1
80993218,Customer_26,Group_1,80994186,Fragrances,ASM_2
11049999,Customer_27,Group_2,11050904,Cosmetics,ASM_0
99639081,Customer_28,Group_3,99639789,Cosmetics,ASM_1
84437458,Customer_29,Group_4,84438384,Cosmetics,ASM_2
50181935,Customer_30,Group_0,50182088,Fragrances,ASM_0
99038526,Customer_31,Group_1,99039085,Fragrances,ASM_1
23903144,Customer_32,Group_2,23903181,Fragrances,ASM_2
28024248,Customer_33,Group_3,28025103,Fragrances,ASM_0
45496015,Customer_34,Group_4,45496394,Cosmetics,ASM_1
25492573,Customer_35,Group_0,25493170,Cosmetics,ASM_2
24366125,Customer_36,Group_1,24366691,Fragrances,ASM_0
84252420,Customer_37,Group_2,84252572,Cosmetics,ASM_1
30863865,Customer_38,Group_3,30864306,Cosmetics,ASM_2
46553958,Customer_39,Group_4,46554089,Cosmetics,ASM_0
47816686,Customer_40,Group_0,47816729,Fragrances,ASM_1
91178885,Customer_41,Group_1,91179201,Fragrances,ASM_2
38270233,Customer_42,Group_2,38270607,Cosmetics,ASM_0
56020613,Customer_43,Group_3,56021534,Fragrances,ASM_1
37326368,Customer_44,Group_4,37327324,Fragrances,ASM_2
95125977,Customer_45,Group_0,95126793,Fragrances,ASM_0
45431319,Customer_46,Group_1,45432315,Fragrances,ASM_1
77834855,Customer_47,Group_2,77835737,Fragrances,ASM_2
75569635,Customer_48,Group_3,75569676,Cosmetics,ASM_0
43704923,Customer_49,Group_4,43705844,Fragrances,ASM_1
